a_jurisdiction,a_fiscal_year,census_01
Tabor City,2022,3709
Tarboro,2022,10696
Thomasville,2022,27130
Topsail Beach,2022,471
Transylvania County,2022,33131
Union County,2022,240109
Vance County,2022,42492
Wake County,2022,1132103
Wake Forest,2022,48047
Walnut Cove,2022,2028
Warren County,2022,18803
Washington,2022,9759
Washington County,2022,11051
Watauga County,2022,54540
Watha,2022,230
Waxhaw,2022,20665
Wayne County,2022,117480
Whiteville,2022,4761
Wilkes County,2022,66125
Wilson,2022,47767
Wilson County,2022,78667
Winston-Salem,2022,249571
Winterville,2022,10510
Yadkin County,2022,37280
Yancey County,2022,18538
Aberdeen,2023,8674
Alamance,2023,1287
Alamance County,2023,171779
Alexander County,2023,36505
Alleghany County,2023,10989
Anson County,2023,22200
Apex,2023,65541
Ashe County,2023,26759
Asheboro,2023,27117
Asheville,2023,93695
Avery County,2023,17679
Bald Head Island,2023,138
Beaufort,2023,4534
Beaufort County,2023,44711
Beech Mountain,2023,798
Benson,2023,4004
Bertie County,2023,17818
Black Mountain,2023,8430
Bladen County,2023,29807
Blowing Rock,2023,900
Boiling Spring Lakes,2023,4622
Boone,2023,19368
Brunswick County,2023,139721
Buncombe County,2023,269449
Burgaw,2023,3207
Burke County,2023,87799
Burlington,2023,56951
Burnsville,2023,2380
Cabarrus County,2023,226396
Calabash,2023,2570
Caldwell County,2023,80716
Camden County,2023,10547
Carolina Beach,2023,6583
Carolina Shores,2023,4643
Carrboro,2023,21242
Carteret County,2023,68353
Cary,2023,174880
Caswell Beach,2023,489
Caswell County,2023,22747
Catawba County,2023,161011
Cerro Gordo,2023,352
Chapel Hill,2023,58919
Chatham County,2023,76754
Cherokee County,2023,28868
Chowan County,2023,13835
Clarkton,2023,822
Clay County,2023,11186
Clayton,2023,26837
Cleveland County,2023,99527
Columbus County,2023,50827
Craven County,2023,101098
Cumberland County,2023,335207
Currituck County,2023,28616
Dare County,2023,37160
Davidson County,2023,169498
Davie County,2023,43030
Duck,2023,686
Dunn,2023,8549
Duplin County,2023,49312
Durham County,2023,325101
Eden,2023,15349
Edgecombe County,2023,49067
Elizabeth City,2023,18570
Fair Bluff,2023,437
Farmville,2023,4474
Fayetteville,2023,208697
Forest City,2023,7357
Four Oaks,2023,4144
Franklin County,2023,69680
Fuquay-Varina,2023,35428
Garner,2023,31684
Gaston County,2023,228972
Gastonia,2023,80615
Gates County,2023,10509
Goldsboro,2023,33566
Graham,2023,17136
Graham County,2023,8047
Granville County,2023,61161
Greene County,2023,20407
Greensboro,2023,297202
Greenville,2023,87894
Guilford County,2023,539557
Halifax County,2023,48772
Harnett County,2023,134718
Havelock,2023,16759
Haywood County,2023,62152
Henderson County,2023,116469
Hertford County,2023,21633
High Point,2023,114120
Hoke County,2023,52612
Holden Beach,2023,997
Holly Ridge,2023,4236
Holly Springs,2023,42023
Hope Mills,2023,17671
Hyde County,2023,4636
Iredell County,2023,187839
Jackson County,2023,42388
Jacksonville,2023,71908
Johnston County,2023,219042
Jones County,2023,9263
Kernersville,2023,929
Kill Devil Hills,2023,7658
King,2023,7210
Kings Mountain,2023,11246
Kitty Hawk,2023,3690
La Grange,2023,2640
Lee County,2023,63560
Leland,2023,24473
Lenoir County,2023,55071
Lexington,2023,19595
Lillington,2023,4566
Lincoln County,2023,87933
Lumberton,2023,19099
Macon County,2023,37088
Madison,2023,2185
Madison County,2023,21414
Manteo,2023,1808
Marion,2023,7652
Martin County,2023,21992
Maysville,2023,893
McDowell County,2023,44629
Mebane,2023,17899
Mecklenburg County,2023,1115403
Mitchell County,2023,14989
Monroe,2023,34897
Montgomery County,2023,25839
Montreat,2023,442
Moore County,2023,100759
Mooresville,2023,50025
Morehead City,2023,9632
Morganton,2023,17457
Morrisville,2023,29756
Mount Olive,2023,4286
Nash County,2023,95015
New Bern,2023,31373
New Hanover County,2023,228134
Newport,2023,4407
North Topsail Beach,2023,775
North Wilkesboro,2023,4349
Northampton County,2023,17528
Oak Island,2023,8564
Ocean Isle Beach,2023,809
Onslow County,2023,203686
Orange County,2023,145919
Pamlico County,2023,12317
Pasquotank County,2023,40454
Pender County,2023,61592
Perquimans County,2023,13053
Person County,2023,39131
Pine Knoll Shores,2023,1363
Pinebluff,2023,1767
Pinehurst,2023,17653
Pitt County,2023,171196
Polk County,2023,19538
Princeton,2023,1471
Raeford,2023,4570
Raleigh,2023,465517
Randolph County,2023,144403
Reidsville,2023,14526
Richmond County,2023,43149
Roanoke Rapids,2023,15143
Robeson County,2023,117573
Rockingham,2023,9174
Rockingham County,2023,91209
Rocky Mount,2023,54260
Rowan County,2023,147067
Rutherford County,2023,64680
Saint Helena,2023,465
Sampson County,2023,59317
Scotland County,2023,34222
Scotland Neck,2023,1861
Shelby,2023,21712
Siler City,2023,7847
Southern Pines,2023,15701
Southern Shores,2023,3098
Southport,2023,4015
Spring Lake,2023,11710
Stanly County,2023,62723
Stokes County,2023,44696
Sunset Beach,2023,4189
Surf City,2023,3888
Surry County,2023,71429
Swain County,2023,14130
Swansboro,2023,3759
Tabor City,2023,3709
Tarboro,2023,10696
Thomasville,2023,27130
Topsail Beach,2023,471
Transylvania County,2023,33131
Union County,2023,240109
Vance County,2023,42492
Wake County,2023,1132103
Wake Forest,2023,48047
Walnut Cove,2023,2028
Warren County,2023,18803
Washington,2023,9759
Washington County,2023,11051
Watauga County,2023,54540
Watha,2023,230
Waxhaw,2023,20665
Wayne County,2023,117480
Whiteville,2023,4761
Wilkes County,2023,66125
Wilson,2023,47767
Wilson County,2023,78667
Winston-Salem,2023,249571
Winterville,2023,10510
Yadkin County,2023,37280
Yancey County,2023,18538
Aberdeen,2024,8674
Alamance,2024,1287
Alamance County,2024,171779
Alexander County,2024,36505
Alleghany County,2024,10989
Anson County,2024,22200
Apex,2024,65541
Ashe County,2024,26759
Asheboro,2024,27117
Asheville,2024,93695
Avery County,2024,17679
Bald Head Island,2024,138
Beaufort,2024,4534
Beaufort County,2024,44711
Beech Mountain,2024,798
Benson,2024,4004
Bertie County,2024,17818
Black Mountain,2024,8430
Bladen County,2024,29807
Blowing Rock,2024,900
Boiling Spring Lakes,2024,4622
Boone,2024,19368
Brunswick County,2024,139721
Buncombe County,2024,269449
Burgaw,2024,3207
Burke County,2024,87799
Burlington,2024,56951
Burnsville,2024,2380
Cabarrus County,2024,226396
Calabash,2024,2570
Caldwell County,2024,80716
Camden County,2024,10547
Carolina Beach,2024,6583
Carolina Shores,2024,4643
Carrboro,2024,21242
Carteret County,2024,68353
Cary,2024,174880
Caswell Beach,2024,489
Caswell County,2024,22747
Catawba County,2024,161011
Cerro Gordo,2024,352
Chapel Hill,2024,58919
Chatham County,2024,76754
Cherokee County,2024,28868
Chowan County,2024,13835
Clarkton,2024,822
Clay County,2024,11186
Clayton,2024,26837
Cleveland County,2024,99527
Columbus County,2024,50827
Craven County,2024,101098
Cumberland County,2024,335207
Currituck County,2024,28616
Dare County,2024,37160
Davidson County,2024,169498
Davie County,2024,43030
Duck,2024,686
Dunn,2024,8549
Duplin County,2024,49312
Durham County,2024,325101
Eden,2024,15349
Edgecombe County,2024,49067
Elizabeth City,2024,18570
Fair Bluff,2024,437
Farmville,2024,4474
Fayetteville,2024,208697
Forest City,2024,7357
Four Oaks,2024,4144
Franklin County,2024,69680
Fuquay-Varina,2024,35428
Garner,2024,31684
Gaston County,2024,228972
Gastonia,2024,80615
Gates County,2024,10509
Goldsboro,2024,33566
Graham,2024,17136
Graham County,2024,8047
Granville County,2024,61161
Greene County,2024,20407
Greensboro,2024,297202
Greenville,2024,87894
Guilford County,2024,539557
Halifax County,2024,48772
Harnett County,2024,134718
Havelock,2024,16759
Haywood County,2024,62152
Henderson County,2024,116469
Hertford County,2024,21633
High Point,2024,114120
Hoke County,2024,52612
Holden Beach,2024,997
Holly Ridge,2024,4236
Holly Springs,2024,42023
Hope Mills,2024,17671
Hyde County,2024,4636
Iredell County,2024,187839
Jackson County,2024,42388
Jacksonville,2024,71908
Johnston County,2024,219042
Jones County,2024,9263
Kernersville,2024,929
Kill Devil Hills,2024,7658
King,2024,7210
Kings Mountain,2024,11246
Kitty Hawk,2024,3690
La Grange,2024,2640
Lee County,2024,63560
Leland,2024,24473
Lenoir County,2024,55071
Lexington,2024,19595
Lillington,2024,4566
Lincoln County,2024,87933
Lumberton,2024,19099
Macon County,2024,37088
Madison,2024,2185
Madison County,2024,21414
Manteo,2024,1808
Marion,2024,7652
Martin County,2024,21992
Maysville,2024,893
McDowell County,2024,44629
Mebane,2024,17899
Mecklenburg County,2024,1115403
Mitchell County,2024,14989
Monroe,2024,34897
Montgomery County,2024,25839
Montreat,2024,442
Moore County,2024,100759
Mooresville,2024,50025
Morehead City,2024,9632
Morganton,2024,17457
Morrisville,2024,29756
Mount Olive,2024,4286
Nash County,2024,95015
New Bern,2024,31373
New Hanover County,2024,228134
Newport,2024,4407
North Topsail Beach,2024,775
North Wilkesboro,2024,4349
Northampton County,2024,17528
Oak Island,2024,8564
Ocean Isle Beach,2024,809
Onslow County,2024,203686
Orange County,2024,145919
Pamlico County,2024,12317
Pasquotank County,2024,40454
Pender County,2024,61592
Perquimans County,2024,13053
Person County,2024,39131
Pine Knoll Shores,2024,1363
Pinebluff,2024,1767
Pinehurst,2024,17653
Pitt County,2024,171196
Polk County,2024,19538
Princeton,2024,1471
Raeford,2024,4570
Raleigh,2024,465517
Randolph County,2024,144403
Reidsville,2024,14526
Richmond County,2024,43149
Roanoke Rapids,2024,15143
Robeson County,2024,117573
Rockingham,2024,9174
Rockingham County,2024,91209
Rocky Mount,2024,54260
Rowan County,2024,147067
Rutherford County,2024,64680
Saint Helena,2024,465
Sampson County,2024,59317
Scotland County,2024,34222
Scotland Neck,2024,1861
Shelby,2024,21712
Siler City,2024,7847
Southern Pines,2024,15701
Southern Shores,2024,3098
Southport,2024,4015
Spring Lake,2024,11710
Stanly County,2024,62723
Stokes County,2024,44696
Sunset Beach,2024,4189
Surf City,2024,3888
Surry County,2024,71429
Swain County,2024,14130
Swansboro,2024,3759
Tabor City,2024,3709
Tarboro,2024,10696
Thomasville,2024,27130
Topsail Beach,2024,471
Transylvania County,2024,33131
Union County,2024,240109
Vance County,2024,42492
Wake County,2024,1132103
Wake Forest,2024,48047
Walnut Cove,2024,2028
Warren County,2024,18803
Washington,2024,9759
Washington County,2024,11051
Watauga County,2024,54540
Watha,2024,230
Waxhaw,2024,20665
Wayne County,2024,117480
Whiteville,2024,4761
Wilkes County,2024,66125
Wilson,2024,47767
Wilson County,2024,78667
Winston-Salem,2024,249571
Winterville,2024,10510
Yadkin County,2024,37280
Yancey County,2024,18538
